Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_SWE_Inches	SWE_Inches_SD	SWE_Inches_n	Avg_diff_inches	Avg_diff_SD	Avg_diff_n
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	November	219.75	1.25079569892473	1.97434737773799	31			
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	December	175.93	5.62958376690947	4.57439393542716	31			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	January	215.56			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	February	292.89	16.2170562234636		12			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	March	488.35	22.062867257709		28			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	April	627.42	18.1622035814364		67			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	May	759.52	3.91030039224949		43			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	June	773.87			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	July	779.65			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	August	689.49			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	September	536.79			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	October	355.73			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	November	229.34			0			
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	San Joaquin	MONTHLY	December	184.69			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	January	208.62			0			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	February	286.1	25.7562591046827		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	March	483.34	32.9417613601759		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	April	628.7	33.3908835171557		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	May	767.98	17.7815077799744		19			
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	June	785.27			0			
